filename , look_vec_x, look_vec_y, look_vec_z, pupil_size   , attention
1.json   , 0.7645    , 0.2116    , -0.609    , -0.0855511   ,         0
10.json  , -0.2713   , 0.2505    , -0.9293   , 0.3492583    ,         0
100.json , -0.1962   , -0.4175   , -0.8872   , 0.09091313   ,         0
1000.json, -0.0323   , -0.2036   , -0.9785   , 0.1357675    ,         0
1001.json, -0.7347   , 0.4407    , -0.5157   , 0.0263505    ,         0
1002.json, -0.5678   , -0.1128   , -0.8154   , 0.04627621   ,         0
1003.json, 0.4268    , -0.1413   , -0.8932   , -0.3657902   ,         0
1004.json, -0.6751   , 0.454     , -0.5814   , 0.5149301    ,         0
1005.json, 0.2832    , -0.0379   , -0.9583   , 0.01494141   ,         0
1006.json, -0.272    , -0.113    , -0.9556   , 0.0352429    ,         0
1007.json, 0.3598    , -0.4395   , -0.8231   , -0.06664426  ,         0
1008.json, -0.7012   , 0.5851    , -0.4075   , 0.1204977    ,         0
1009.json, 0.1758    , -0.3131   , -0.9333   , -0.2099051   ,         0
101.json , 0.6228    , 0.1778    , -0.762    , -0.1393439   ,         0
1010.json, -0.8231   , 0.2369    , -0.5161   , -0.1764571   ,         0
1011.json, 0.076     , 0.2876    , -0.9547   , 0.1170588    ,         0
1012.json, -0.0974   , -0.1442   , -0.9847   , -0.1411723   ,         1
1013.json, 0.7241    , -0.3109   , -0.6157   , 0.03549393   ,         0
1014.json, 0.083     , -0.6095   , -0.7884   , -0.1783694   ,         0
1015.json, -0.0128   , -0.0674   , -0.9976   , 0.08685393   ,         1
1016.json, -0.8408   , -0.0249   , -0.5408   , 0.1515415    ,         0
1017.json, -0.5311   , -0.4278   , -0.7314   , 0.1093183    ,         0
1018.json, 0.2055    , 0.3437    , -0.9163   , -0.08827011  ,         0
1019.json, -0.8309   , 0.4303    , -0.3529   , 0.2757141    ,         0
102.json , 0.4239    , 0.2961    , -0.8559   , 0.07925681   ,         0
1020.json, -0.0991   , -0.3318   , -0.9381   , 0.1021077    ,         0
1021.json, 0.6997    , 0.1386    , -0.7009   , 0.1571437    ,         0
1022.json, 0.3957    , -0.1096   , -0.9118   , -0.06909976  ,         0
1023.json, 0.3204    , -0.0616   , -0.9453   , -0.1327694   ,         0
1024.json, -0.4194   , -0.3867   , -0.8213   , -0.1769051   ,         0
1025.json, -0.2949   , -0.1046   , -0.9498   , 0.2913669    ,         0
1026.json, 0.7636    , 0.1615    , -0.6252   , -0.1310777   ,         0
1027.json, -0.5384   , 0.1693    , -0.8255   , -0.03002763  ,         0
1028.json, 0.0555    , 0.1548    , -0.9864   , 0.006967466  ,         1
1029.json, 0.5069    , -0.2069   , -0.8368   , 0.07801872   ,         0
103.json , -0.676    , 0.328     , -0.6599   , 0.1281203    ,         0
1030.json, 0.5436    , 0.2667    , -0.7958   , 0.1419513    ,         0
1031.json, -0.1012   , 0.3658    , -0.9252   , 0.2663559    ,         0
1032.json, 0.6641    , 0.1891    , -0.7233   , -0.333669    ,         0
1033.json, 0.0915    , -0.3907   , -0.916    , 0.04295211   ,         0
1034.json, -0.4038   , 0.0835    , -0.911    , -0.1103569   ,         0
1035.json, -0.1516   , 0.4937    , -0.8563   , -0.08374928  ,         0
1036.json, -0.2244   , -0.1703   , -0.9595   , 0.2403358    ,         0
1037.json, 0.1616    , -0.5653   , -0.8089   , 0.1460118    ,         0
1038.json, 0.3959    , 0.1442    , -0.9069   , -0.1494058   ,         0
